ID,ФИО,Instagram
4704,Абдуллазянов Эдвард Юнусович,edvard_abdullazyanov
36,Абельцев Сергей Николаевич,abeltsev.ru
22071,Абрамченко Виктория Валериевна,abramchenko_v
15534,Авдеев Александр Александрович,aaavdeev.vl
135486,Авксентьева Сардана Владимировна,sardanaavksentieva
457,Азаров Дмитрий Игоревич,azarov.life
20266,Алиханов Антон Андреевич,aaalikhanov
137112,Аникеев Андрей Анатольевич,_aaanikeev_
399312,Арапов Георгий Константинович,arapovgk
606,Аршинова Алёна Игоревна,alena_arshinova
1258,Астахов Павел Алексеевич,rfdeti
11547,Бабкина Надежда Георгиевна,ngbabkina
38,Багдасаров Семен Аркадьевич,s.a.bagdasarov
399314,Баженов Тимофей Тимофеевич,bazhenov_timofey_official
137235,Басков Николай Викторович,nikolaibaskov
4580,Бастрыкин Александр Иванович,aleksandrbastrykin3
464,Баталина Ольга Юрьевна,olgasar
444,Белозерцев Иван Александрович,ivan_belozercev_penza
584,Богданов Андрей Владимирович,bonych
1135,Богомаз Александр Васильевич,a.v.bogomaz
1422,Бочкарев Василий Кузьмич,bochkarevvk
33491,Бречалов Александр Владимирович,brechalov
56646,Брюханова Анастасия Андреевна,banandw
198,Булавинов Вадим Евгеньевич,vadim.bulavinov
39,Бурков Александр Леонидович,burkov.aleksandr.leonidovich
489,Бурматов Владимир Владимирович,burmatoff
399324,Буцкая Татьяна Викторовна,tanya.butskaya
203,Васильев Владимир Абдуалиевич,vladimir__abdualievich
399328,Вассерман Анатолий Александрович,wassermaninsta
399360,Власова Вероника Валериевна,veronika.vlasova_2012
271,Водолацкий Виктор Петрович,viktor_vodolackiy
459,Володин Вячеслав Викторович,volodin.saratov
15456,Волоцков Алексей Анатольевич,volotskov
399375,Гильмутдинов Динар Загитович,dgilmutdinov
399315,Гимбатов Андрей Петрович,a.gimbatov34
136924,Гоголев Петр Васильевич,gogolev388
181,Гольдштейн Ростислав Эрнстович,goldshtein_rostislav
570,Гордеев Алексей Васильевич,av.gordeev
399306,Горячева Ксения Александровна,kseniia_goryacheva
227,Грызлов Борис Вячеславович,bvgryzlov
311,Гудков Дмитрий Геннадьевич,d_gudkov
399390,Даванков Владислав Андреевич,davankov
17922,Даудов Магомед Хожахмедович,lord_095
1094,Дворкович Аркадий Владимирович,arkady1972
367,Дегтярев Михаил Владимирович,degtyarev_info
399406,Делягин Михаил Геннадьевич,m_delyagin
15531,Денисов Дмитрий Александрович,gorodskoj_golova_kalugi
1925,Дергунова Ольга Константинова,olga_derg
23327,Димов Олег Дмитриевич,oddimov
1413,Дрозденко Александр Юрьевич,drozdenko_au
11595,Евраев Михаил Яковлевич,mikhail.evraev
4897,Еделев Дмитрий Аркадьевич,edelevdmitry
537,Жилкин Александр Александрович,ajilkin
89,Жириновский Владимир Вольфович,zhirinovskiy
573,Журавлев Алексей Александрович,zhuravlev_deputat
455,Зимин Виктор Михайлович,v.m.zimin
8,Зюганов Геннадий Андреевич,zyuganov_gennady
472,Игнатьев Михаил Васильевич,mihail_ignatiev_chuvashiya
131,Казарин Виктор Николаевич,kazarin_vn
127177,Калиматов Махмуд-Али Макшарипович,kalimatov_mm
442,Кара-оол Шолбан Валерьевич,sholban_karaool
483,Карпов Анатолий Евгеньевич,karpov.chess.official
135,Карпович Наталья Николаевна,n_n_karpovich
399391,Кастюкевич Игорь Юрьевич,kastiukevich
546,Качкаев Павел Рюрикович,kachkaevpavel
139,Климов Андрей Аркадьевич,klimov59
892,Клишас Андрей Александрович,andreyklishas
141,Кобзон Иосиф Давыдович,iosifkobzon
1418,Ковтун Марина Васильевна,marinav_kovtun
419,Кожевникова Мария Александровна,mkozhevnikova
536,Кожемяко Олег Николаевич,kozhemiako.oleg
2882,Козлов Александр Александрович,ministrlive
14085,Козловский Александр Николаевич,kozlovskii_a
399386,Колунов Сергей Владимирович,kolunov.sergey
137646,Константинов Владимир Андреевич,konstantinov_va
7773,Кувшинников Олег Александрович,olegkuvshinnikov
31912,Кузнецова Анна Юрьевна,anna_jurevna
149,Кузьмичева Екатерина Ивановна,eikuzmicheva
203356,Кузякин Дмитрий Викторович,kuziakin_dmitrii
1252,Куйвашев Евгений Владимирович,evgenykuyvashev
136171,Купецкая Юлия Олеговна,juliakupetskaya
363,Курдюмов Александр Борисович,aleksanderkurdyumov
15050,Куринный Алексей Владимирович,alekseikurinnyi
666,Лавров Сергей Викторович,s.v.lavrov
138195,Лазуткина Юлия Викторовна,lasutkina.jv
14664,Ларионова Татьяна Петровна,tatyana_larionova_rt
13700,Лебедев Евгений Викторович,lebedev__evgeny
132687,Лимаренко Валерий Игоревич,limarenko_official
917,Лисовский Сергей Федорович,sflisovsky
29,Локоть Анатолий Евгеньевич,a_lokot
17345,Люлин Евгений Борисович,evgeniy.lyulin
399378,Майданов Денис Васильевич,maydanov_official
475,Максимова Светлана Викторовна,svetlanamaximova_deputat
14238,Матвеев Михаил Николаевич,insta_matveev
399377,Матвейчев Олег Анатольевич,oleg.matveychev
684,Матвиенко Валентина Ивановна,matvienko.vi
39389,Махонин Дмитрий Николаевич,mahonindn
563,Машков Владимир Львович,tot_mashkov
542,Медведев Дмитрий Анатольевич,damedvedev
161,Мединский Владимир Ростиславович,vr_medinskiy
8935,Меликов Сергей Алимович,melikov_s.a
574,Мень Михаил Александрович,mikhail_menn
31754,Меняйло Сергей Иванович,sergey_menuaylo
